make,model,year,milage,fuel,horsepower,transmission,price
MINI,Mini,2018,34503,Petrol,189,Manual,17799
Mercedes-Benz,GLC-Class,2018,11294,Petrol,362,Automatic,40500
PORSCHE,911,1997,26900,Petrol,282,Manual,129995
LAND,ROVER,2020,17800,Diesel,178,Automatic,51495
AUDI,RS3,2016,32400,Petrol,362,SemiAutomatic,35990
BMW,3,2013,52894,Petrol,414,SemiAutomatic,29990
JAGUAR,F-TYPE,2014,24000,Petrol,340,Automatic,33495
SKODA,YETI,2016,64000,Diesel,109,Manual,10000
Porsche,718,2019,4000,Petrol,414,Manual,93995
2020,M2,2020,14000,Petrol,405,Automatic,53450
VOLVO,V60,2011,49618,Diesel,202,Automatic,9495
Caterham,CSR,2005,25018,Petrol,260,Manual,38995
A,Fabulous,1994,33200,Petrol,200,Manual,89950
Mercedes,VITO,2008,11089,Diesel,201,SemiAutomatic,9995
LAND,ROVER,2015,57500,Diesel,306,Automatic,31950
Nissan,Qashqai,2018,14758,Petrol,113,Manual,20000
Mercedes,benz,2015,35217,Diesel,201,Automatic,17250
LOTUS,ELISE,2018,8023,Petrol,243,Manual,48950
BMW,3,1998,70941,Petrol,190,Automatic,3995
Mercedes,benz,2015,21161,Diesel,107,Automatic,16790
Mercedes,benz,2015,69520,Petrol,154,Manual,13990
Audi,TT,2010,91468,Petrol,200,Automatic,7990
2018,67,2018,23200,Diesel,429,Automatic,134940
Porsche,911,2015,34000,Petrol,345,SemiAutomatic,76000
PORSCHE,911,2004,75000,Petrol,325,Manual,21995
Land,rover,2020,7971,Diesel,306,Automatic,81990
MCLAREN,720S,2019,4836,Petrol,711,SemiAutomatic,179900
Volkswagen,Tiguan,2021,3258,Petrol,148,Automatic,35995
Land,rover,2021,5500,Diesel,197,Automatic,72990
A,Virtually,1995,23132,Petrol,87,Automatic,3995
Mitsubishi,Outlander,2016,88742,Hybrid,200,Automatic,15990
Vauxhall,Insignia,2012,54000,Petrol,138,Manual,4000
Vauxhall,Astra,2016,43000,Petrol,104,Manual,7995
Fiat,500X,2015,65000,Petrol,140,Manual,7895
Vauxhall,Corsa,2015,84000,Petrol,113,Manual,5995
Toyota,Auris,2011,25000,Petrol,101,Manual,5490
Honda,Jazz,2014,49800,Hybrid,98,Automatic,9999
Vauxhall,Mokka,2018,16781,Petrol,138,Manual,13600
Skoda,Kamiq,2021,1130,Petrol,109,Manual,21990
Ford,Fiesta,2018,26500,Petrol,99,Manual,10995
Ford,Fiesta,2012,121700,Diesel,94,Manual,2595
Ford,Fiesta,2012,87802,Diesel,68,Manual,3999
Seat,Ibiza,2018,17794,Petrol,74,Manual,10599
Vauxhall,Mokka,2019,20978,Petrol,138,Manual,14599
Kia,Sportage,2019,9053,Petrol,174,Automatic,28400
Ford,Focus,2018,25041,Petrol,138,Manual,13599
BMW,1,2021,5668,Petrol,134,Manual,26599
Kia,Sportage,2018,19523,Petrol,130,Manual,20999
Ford,Fiesta,2019,13607,Petrol,84,Manual,12695
Audi,A3,2018,19749,Petrol,114,Manual,16599
Toyota,Urban,2011,42634,Petrol,100,Manual,5000
Peugeot,108,2018,42598,Petrol,71,Manual,6950
Mercedes-Benz,A-Class,2019,25328,Petrol,221,Automatic,28999
Mercedes-Benz,GLE,2018,26219,Petrol,385,Automatic,43999
Citroen,C1,2010,25000,Petrol,68,Manual,3499
Hyundai,Tucson,2019,11025,Petrol,174,Automatic,21395
Hyundai,Tucson,2019,15660,Petrol,174,Automatic,21195
Audi,A3,2018,31461,Petrol,187,Manual,20599
Ford,Transit,2021,4452,Petrol,99,Manual,16599
Mercedes-Benz,GLA-Class,2018,21524,Petrol,154,Manual,22599
Seat,Ibiza,2018,3372,Petrol,114,Automatic,14999
Honda,Jazz,2018,3487,Petrol,101,Automatic,16999
Ford,EcoSport,2020,7863,Petrol,123,Manual,19999
Hyundai,Tucson,2019,14055,Petrol,174,Automatic,21195
Ford,Fiesta,2007,108000,Petrol,148,Manual,2995
Hyundai,Tucson,2019,14642,Petrol,174,Automatic,21195
Hyundai,Tucson,2019,17670,Petrol,130,Manual,17295
Nissan,Juke,2015,109000,Petrol,115,Manual,5790
Skoda,Fabia,2010,56750,Petrol,85,Manual,3495
BMW,3,2009,95000,Petrol,215,Automatic,6750
Peugeot,207,2008,57000,Petrol,72,Manual,1750
Fiat,Grande,2008,79681,Petrol,77,Automatic,1495
Toyota,Yaris,2015,44000,Petrol,99,Manual,7299
Renault,Megane,2011,63915,Petrol,100,Manual,3999
Audi,A1,2019,18553,Petrol,114,Manual,19790
Vauxhall,Grandland,2018,45416,Petrol,128,Automatic,12495
Audi,Q5,2020,9640,Petrol,241,Automatic,44990
Audi,A5,2021,3950,Petrol,148,Automatic,38490
Audi,A4,2021,3795,Petrol,444,Automatic,67990
Volkswagen,Polo,2007,59447,Petrol,70,Manual,2995
Audi,A3,2018,20592,Petrol,114,Manual,18190
Audi,A3,2018,28353,Petrol,114,Manual,19990
Aston,Martin,2011,38000,Petrol,430,Automatic,44995
Nissan,Juke,2016,36900,Petrol,115,Manual,10500
Toyota,Yaris,2018,29369,Hybrid,99,Automatic,13399
Land,Rover,2021,8148,Petrol,246,Automatic,52450
MINI,Mini,2017,35079,Petrol,134,Manual,13499
Ford,Focus,2009,117000,Petrol,100,Manual,1995
Vauxhall,Corsa,2019,11415,Petrol,89,Manual,7195
Audi,A1,2014,33500,Petrol,121,Manual,11500
Ford,Focus,2016,44781,Petrol,247,Manual,15300
Ford,Fiesta,2016,27896,Petrol,123,Manual,9600
Vauxhall,Corsa,2017,8863,Petrol,74,Manual,9500
Vauxhall,GTC,2015,37000,Petrol,138,Automatic,8500
Mazda,Mazda2,2017,40100,Petrol,89,Manual,10600
Ford,Focus,2016,37923,Petrol,123,Manual,10000
Mazda,Mazda3,2018,45227,Petrol,118,Automatic,13995
