,make,model,year,mileage,fuel,power,transmission,price
0,MINI,Mini,2018,34503,Petrol,189,Manual,17799
1,Mercedes-Benz,GLC-Class,2018,11294,Petrol,362,Automatic,40500
2,PORSCHE,911,1997,26900,Petrol,282,Manual,129995
3,LAND,ROVER,2020,17800,Diesel,178,Automatic,51495
4,AUDI,RS3,2016,32400,Petrol,362,Semi Automatic,35990
5,BMW,3,2013,52894,Petrol,414,Semi Automatic,29990
6,JAGUAR,F-TYPE,2014,24000,Petrol,340,Automatic,33495
7,SKODA,YETI,2016,64000,Diesel,109,Manual,10000
8,Porsche,718,2019,4000,Petrol,414,Manual,93995
9,2020,M2,2020,14000,Petrol,405,Automatic,53450
10,VOLVO,V60,2011,49618,Diesel,202,Automatic,9495
11,Caterham,CSR,2005,25018,Petrol,260,Manual,38995
12,A,Fabulous,1994,33200,Petrol,200,Manual,89950
13,Mercedes,VITO,2008,11089,Diesel,201,Semi Automatic,9995
14,LAND,ROVER,2015,57500,Diesel,306,Automatic,31950
15,Nissan,Qashqai,2018,14758,Petrol,113,Manual,20000
16,Mercedes,benz,2015,35217,Diesel,201,Automatic,17250
17,LOTUS,ELISE,2018,8023,Petrol,243,Manual,48950
18,BMW,3,1998,70941,Petrol,190,Automatic,3995
19,Mercedes,benz,2015,21161,Diesel,107,Automatic,16790
20,Mercedes,benz,2015,69520,Petrol,154,Manual,13990
21,Audi,TT,2010,91468,Petrol,200,Automatic,7990
22,2018,67,2018,23200,Diesel,429,Automatic,134940
23,Porsche,911,2015,34000,Petrol,345,Semi Automatic,76000
24,PORSCHE,911,2004,75000,Petrol,325,Manual,21995
25,Land,rover,2020,7971,Diesel,306,Automatic,81990
26,MCLAREN,720S,2019,4836,Petrol,711,Semi Automatic,179900
27,Volkswagen,Tiguan,2021,3258,Petrol,148,Automatic,35995
28,Land,rover,2021,5500,Diesel,197,Automatic,72990
29,A,Virtually,1995,23132,Petrol,87,Automatic,3995
30,Mitsubishi,Outlander,2016,88742,Hybrid,200,Automatic,15990
31,Vauxhall,Insignia,2012,54000,Petrol,138,Manual,4000
32,Vauxhall,Astra,2016,43000,Petrol,104,Manual,7995
33,Fiat,500X,2015,65000,Petrol,140,Manual,7895
34,Vauxhall,Corsa,2015,84000,Petrol,113,Manual,5995
35,Toyota,Auris,2011,25000,Petrol,101,Manual,5490
36,Honda,Jazz,2014,49800,Hybrid,98,Automatic,9999
37,Vauxhall,Mokka,2018,16781,Petrol,138,Manual,13600
38,Skoda,Kamiq,2021,1130,Petrol,109,Manual,21990
39,Ford,Fiesta,2018,26500,Petrol,99,Manual,10995
40,Ford,Fiesta,2012,121700,Diesel,94,Manual,2595
41,Ford,Fiesta,2012,87802,Diesel,68,Manual,3999
42,Seat,Ibiza,2018,17794,Petrol,74,Manual,10599
43,Vauxhall,Mokka,2019,20978,Petrol,138,Manual,14599
44,Kia,Sportage,2019,9053,Petrol,174,Automatic,28400
45,Ford,Focus,2018,25041,Petrol,138,Manual,13599
46,BMW,1,2021,5668,Petrol,134,Manual,26599
47,Kia,Sportage,2018,19523,Petrol,130,Manual,20999
48,Ford,Fiesta,2019,13607,Petrol,84,Manual,12695
49,Audi,A3,2018,19749,Petrol,114,Manual,16599
50,Toyota,Urban,2011,42634,Petrol,100,Manual,5000
51,Peugeot,108,2018,42598,Petrol,71,Manual,6950
52,Mercedes-Benz,A-Class,2019,25328,Petrol,221,Automatic,28999
53,Mercedes-Benz,GLE,2018,26219,Petrol,385,Automatic,43999
54,Citroen,C1,2010,25000,Petrol,68,Manual,3499
55,Hyundai,Tucson,2019,11025,Petrol,174,Automatic,21395
56,Hyundai,Tucson,2019,15660,Petrol,174,Automatic,21195
57,Audi,A3,2018,31461,Petrol,187,Manual,20599
58,Ford,Transit,2021,4452,Petrol,99,Manual,16599
59,Mercedes-Benz,GLA-Class,2018,21524,Petrol,154,Manual,22599
60,Seat,Ibiza,2018,3372,Petrol,114,Automatic,14999
61,Honda,Jazz,2018,3487,Petrol,101,Automatic,16999
62,Ford,EcoSport,2020,7863,Petrol,123,Manual,19999
63,Hyundai,Tucson,2019,14055,Petrol,174,Automatic,21195
64,Ford,Fiesta,2007,108000,Petrol,148,Manual,2995
65,Hyundai,Tucson,2019,14642,Petrol,174,Automatic,21195
66,Hyundai,Tucson,2019,17670,Petrol,130,Manual,17295
